"X_0","X_1","X_2","X_3","X_4","X_5","X_6","X_7","X_8","X_9","X_10","X_11","target"
"","","","",-0.06,1.19,"","","","","","",0.0
1.17,"","","","","","","","","","","",-0.0
"","","","","","","","","","","","",0.0
"","","","","","","",-0.25,"","","","",-0.0
"","","","","","","","","",-1.35,"","",-0.0
"",-0.58,"","",1.55,"","","","","","","",-0.0
"","","","","","","","","",0.74,"","",-0.0
0.12,"","","",-2.03,-0.69,"","","","","","",-0.0
"","","","","","","","","","","","",0.0
"","","","","","","","","","","","",-0.0
"","","","","","","","","","","","",0.0
"",1.32,"","","","","","","","","","",0.0
"",-0.73,-0.65,"","","","","","","","",-0.26,0.0
"","","","","","","","","","","","",0.0
"",-1.25,"","","","","","","","","","",-0.0
"","",1.3,"","","","","","","","","",0.0
"","","","","","","","","","","","",0.0
"","","","","","","","","","","","",0.0
"","","","","","","","","",-1.03,"","",-0.0
"",-0.36,"","","","","","","","","",0.72,0.0
"","","","","",-1.21,"","","","","","",-0.0
"",0.09,"","","","","","","","","","",0.0
"",-2.49,"",1.43,"","","",-1.61,"","","","",-0.0
"","","","","","","","","",1.81,"","",0.0
"","","","","","","","","","","","",-0.0
"","","","","","","","","","","","",0.0
"","","","",0.34,"","","","","","","",-0.0
"","","","","","","","","","","","",-0.0
"","","","","","","","","","","","",-0.0
"","","","","","","","","","","","",0.0
"","","","","","","","","",0.32,"","",-0.0
"","","","","","",0.64,"","","","","",0.0
"","","","","","","","","","","","",0.0
"","","","","","","","","","","","",-0.0
"","","","","","","","","","","","",0.0
"","","","","","","","","","","","",0.0
"","","","","","","",2.03,"","","","",-0.0
"","","","","","","","",-2.28,"","","",-0.0
"","","","","","","","","","","","",-0.0
"","","",-0.22,"","","","",-1.76,"","","",-0.0
0.9,"","","","","","","","","","","",-0.0
"","","","","","","","","","","","",0.0
"","","","","","","","","","","","",-0.0
"","","",0.67,"","","","","","","","",0.0
"","","","","","","","","","","","",0.0
"","","","","","","","","","","","",-0.0
"","","","","","","","","","","","",0.0
"","","","","",-0.5,"","","","",-0.68,"",0.0
"","","","","","","","","","","","",-0.0
"","","","","","","","","","","","",0.0
"","","","","",0.43,"","","","","","",0.0
"","","","","","",0.67,"","","","","",0.0
"","","","","","","","","","","","",-0.0
"","","","","","","","","","","","",0.0
-0.84,"","","","","","","","","","","",-0.0
"","","","","","",1.2,"","","","","",0.0
"","","","","","","","","","","","",-0.0
"",0.55,"","",-0.07,"","","","","","","",0.0
"","","","","","","","","","","","",-0.0
"","","","","","","","","","","","",-0.0
"","","","","","","","","",-0.04,"","",-0.0
"","","","","","","","","","","","",0.0
"","","","","","","","","","","","",-0.0
"","","","","","","","","","","","",0.0
"","","","","","","","","","","","",0.0
"","","","","",0.23,"","","","","","",0.0
"","","","","","","","","","","","",0.0
"","","","","","","","","","","","",0.0
"","","","","","","","","","","","",-0.0
"","","","","","","","","","","",-1.5,-0.0
"","","","","","","","","","","",-1.2,-0.0
"","","","","","","","","","","","",-0.0
"","","","","","","","","","","","",0.0
"","","","","","","","","","","","",-0.0
"","","","","","","","","","","","",-0.0
"","","","","","","","","","","","",-0.0
0.18,"",1.77,"","","","","","","","","",0.0
"","","","","","","","","","","","",-0.0
"","","","","",-0.26,"","","","","","",0.0
"",-0.15,"","","","","","","","","","",-0.0
"","","","","","","","","","","","",-0.0
"","","","","","","","","","","","",0.0
"","","","","","","","","","","","",-0.0
"","",-0.4,"","","","","","","","","",-0.0
"","",0.72,"","","","","","","","","",-0.0
"","","","","","","","","","","","",-0.0
"","",-1.76,"","","","","","","","","",-0.0
"","",-0.38,"","","","","","","","","",-0.0
"","","","","","","","","","","","",-0.0
"","","","","","","","","","","","",-0.0
"","",0.84,"","",0.05,"","","","","","",0.0
"","","","","",-0.62,"","","","","","",-0.0
"","","","","","","","","","","","",-0.0
"","","","","","","","","","","","",-0.0
"","","","","","","","","","","","",-0.0
"","","","","","","","","","","","",-0.0
"","","","","","","","","","","","",-0.0
"","","","","","","","","","","","",-0.0
"","","","","","","","","","","","",0.0
"","","","","","","",-0.54,"",-0.81,"","",-0.0
"","","","","","","","",-1.7,"","","",-0.0
"","","","","","","","","","","","",0.0
"","",0.0,"","","","","","","","","",0.0
-0.25,"","","","","","","","","","","",0.0
"","","","","","",-0.4,"","",-0.89,"","",-0.0
"","","",-0.19,"","","","","","","","",0.0
"","","","","","","","","","","","",-0.0
"","","","","","","","","","","","",-0.0
"","","",2.13,"","","","","","","","",0.0
"","","","","","","","","","","","",-0.0
"","","","","","","","","",0.05,"","",-0.0
"","","","","","","","","","","","",-0.0
"","","",-0.94,"","","","","","","","",-0.0
"","","","","","","","","","","","",0.0
"","","","","","","","","","","","",0.0
"","","","",0.11,"","","","","","","",0.0
"","","","","","","","",0.24,"","","",-0.0
"","","","","","","","","","","","",-0.0
"","","","","","","","","","","","",-0.0
"","","","",-0.45,"","","","",2.69,"","",0.0
"","","","","","","","","","","","",-0.0
"","","","","","","","","","","","",0.0
"","","","","","","","","","",0.62,"",0.0
"","","","",0.22,"","","","","","","",-0.0
"",0.16,"","","","","","","","","","",0.0
"","","","","","","","","","","","",-0.0
"","","","","","","","","","","","",0.0
-1.14,"","","","","","","","",-0.39,"","",0.0
"","","","","","","","","","","","",0.0
-0.07,"","",-1.58,"","","","","","","","",-0.0
"","","","","","","","","","","","",-0.0
"",2.97,"","","","","","","","","",-0.13,0.0
"","","","","","","",-2.4,"","","","",-0.0
"","",-1.36,"","","","","","","","","",-0.0
"","","","","","",-0.09,"","","","","",-0.0
"","","","","","","","","","","","",0.0
"","","","","","","","","","","","",0.0
"","","","","","","","","","","","",-0.0
"","","","","","","","","","","","",-0.0
"","","","","","","","","","","","",0.0
"","","","","","","","","","","","",0.0
"","","","","","","","","","","","",0.0
"","","","","","","","","","","","",-0.0
"","","","","","","","","","","","",0.0
"","","","","","","","","","","","",0.0
"",-1.24,"","",0.87,"","","","",1.0,"","",0.0
"","","","","","","","","","","","",-0.0
"","","","","","","","","","","","",-0.0
"","","","","","","","","","","","",-0.0
"","","","","","","","","","","","",0.0
"","","",0.4,"","","","","","","","",-0.0
"","","","","","","","","","","",-0.05,-0.0
"","","","","","","","","","","","",0.0
"","","","","","","","","","","","",0.0
"","","","","","","","","","","","",0.0
"","","","","","","","","","","","",0.0
"","","","","","","","","","","","",-0.0
"","","","","","","","","","","","",0.0
"","","","","","","","","","","","",-0.0
"","","",0.81,"","","","","","","","",0.0
-0.05,"","","","","","","","","","","",0.0
"","","","","","","","","","","","",-0.0
"","","","","","","","","","",1.45,"",0.0
"","","","","","","","","","","","",-0.0
"","","","","","","","","","","","",-0.0
"","","","","","","","","","","","",0.0
"","","","","","","","","",-0.45,"","",-0.0
"","","",-0.55,"","","","","","","","",0.0
"","","","","","","","","","","",1.49,-0.0
"","","",0.45,"","","","","","","","",0.0
"","","","","","","","","","","","",0.0
"","","",-0.12,"","","","","","","","",0.0
"","","","","","","","","","","","",0.0
"","","","","","","","","","","","",0.0
"","","",1.18,"","","","","","","","",-0.0
"","","","","",-0.1,"","","","","","",-0.0
"","","","","","","","","","","","",0.0
"","","","","","","","",-0.5,0.32,"","",-0.0
-0.16,"","","","","","","","","","","",0.0
"","","","","","",0.09,"","","","","",-0.0
"","","","","","","","","","","","",-0.0
"","","","","",-1.13,"","","","","","",-0.0
"","","","","","","","","","","","",0.0
"","","","","","","","",-0.57,"","","",0.0
"","","","","",-0.55,"","",0.59,"","","",0.0
"","","","","","","","","","","","",0.0
"","","","",-1.34,"","","","","","","",-0.0
-0.29,"","","","","","","","",0.23,"",0.35,0.0
"","","","","","","","","","","","",-0.0
"","","","",-0.06,"","","","","","","",-0.0
"","","","","","","","","","","","",-0.0
"","","","","","","","","","","","",0.0
"",-0.33,"","",-1.28,"","","","","","","",0.0
"","","","","","","","","","","","",0.0
"","","","","","","","","","","","",-0.0
"","","","","","","","","","","","",-0.0
"","","","","","","","","","","","",0.0
"","","","","","","","",-0.24,"",-0.03,"",-0.0
"","","","","","","","","","","","",0.0
"","","","","","","","","","",0.6,"",-0.0
"","","","","","","","","","","","",-0.0
"","","","","","","","","","","","",-0.0
"","","","","","","","","","","","",-0.0
"","","","","","","","",0.22,"","","",0.0
"","","","","","","","","","","","",0.0
"","","","","","","","","","","","",0.0
"","",0.25,"","","","","","","","","",0.0
"",-0.92,"","","","","","","","","","",0.0
"","","","",-0.08,"","","","","","","",-0.0
"","","","","","","","","","","",-0.15,0.0
"","","","","","","","","","","","",-0.0
"","",-0.45,"","","","","",-1.97,"","","",-0.0
"","","",-0.02,"","",0.25,"","","","","",0.0
"","","","","","","","","","","",1.63,0.0
"","","","","","","","","",0.21,"","",-0.0
"","","","","","","","","","","","",0.0
"","","","","","","","","","","","",-0.0
"","","","","","","","","","","","",0.0
"","",1.5,"","","","","","","",-0.36,"",-0.0
"","","","","","","","","","","","",0.0
"","","","","","",0.75,"","","","","",0.0
"","","","","","","","","","","",1.26,0.0
"","","","","","","",1.19,"","","","",-0.0
"","","","","","","","","","","","",0.0
"","","","","","","","","","","","",-0.0
"","","","","","","","","","","","",0.0
"","","","",-0.11,"","","","","","","",0.0
"","","","","","","","","","","","",-0.0
"",-0.89,"","","",-0.34,"","","","","","",0.0
"",1.5,"","","","","","","","","","",0.0
"","","","","","","","","","","","",0.0
"","","","","","","","","","","","",-0.0
"","","","","","","","","","","","",-0.0
"","","","","","","","","","","","",-0.0
"","","","","","","","","","","","",0.0
"","","","","","","","","","","","",0.0
"","","","","","","","","","","","",-0.0
"","","","","",1.58,"","","","","","",-0.0
"","","","","","","","",0.24,"","","",0.0
"","","","","","","","","","","","",-0.0
"","","","","","","","","","","","",0.0
"",0.91,"","","","","","","","","","",0.0
"","","","","","","","","","","","",0.0
"","","","","","","","","","","","",0.0
"","","","","","","","","","","","",0.0
"","","","","","","","","","","","",0.0
"","","","","",-2.01,"","","","","","",-0.0
"","","","","","","","","","","","",-0.0
"","","","","","","","","","","","",0.0
"","","","","",-0.35,"","","","","","",0.0
"","","","","","","","","","","",0.54,0.0
"","","","","","","","","","",0.6,"",-0.0
"","","","","","","","","",0.17,"","",-0.0
-0.95,"","","","","",1.8,"","","",-1.03,"",0.0
"","","","",1.57,"","","",-0.65,"","","",0.0
"","","","","","","","","","","","",0.0
"",0.85,"","","","","","","","","","",0.0
"","","","","",-0.15,"","","","","","",-0.0
"","","","","","","","","","","","",-0.0
"","","","","","","","","","","","",0.0
"","","","","","","","","","","","",-0.0
"","","","","","","","","","","","",0.0
"","","","","",1.58,1.26,"","","","","",0.0
"","","","","","","","","","","","",0.0
"","","","","","","","","","","","",0.0
"",0.95,"","","","","","","",1.09,"","",0.0
"","","","","","","","","","","",-0.82,-0.0
"","","","","",2.96,"","","","","","",0.0
"","",0.55,"","","","","","","","","",-0.0
"",0.31,"","","","","","","","","","",0.0
"","","",-0.01,"","","","","",-1.29,"","",0.0
"","","","","","","","","","","","",-0.0
"","",-1.01,"","","","","","","","","",-0.0
"","","","","","","","","","","","",-0.0
"","",-0.44,0.94,"","","","","","","","",0.0
"","","","","","","","","","","","",0.0
"","","","","",0.82,"","","","","","",0.0
"","","",1.27,"","","","","","","","",-0.0
"","","","","","","","",-2.14,"","","",-0.0
"","","","","","","","","","","","",0.0
"","",-0.33,"","","","","","","","","",0.0
"","","","",0.2,"","","","","","","",-0.0
"","","","","","","","","","","","",0.0
"","","","","","","",-2.03,"","","","",0.0
-0.12,"","","","","","","","","","","",0.0
"","","","","","","","","",-1.33,"","",-0.0
"","","","","","","",0.08,-0.46,"","","",-0.0
"","","","","","","","","","","","",0.0
"","","","","","","","","","","","",0.0
"","","","","","","","","","","","",-0.0
"","","","","","","","","","","","",0.0
"","","","","","",0.57,"","","","","",0.0
"","","","","","","","","","",-0.39,"",-0.0
"","","","","","","","","","","","",-0.0
"","","","","","","","","","","","",-0.0
"","",-1.88,"","","","","","",0.09,"","",-0.0
"","","","","","","","","","","","",-0.0
"","","","","","","","","","","","",-0.0
"","","","","","","","","","","","",0.0
"","","","","","","","","","","","",-0.0
"",2.35,"","","","","","",0.94,"","","",0.0
1.34,"","","","","","","","","","","",0.0
"","","","","","","","","",-3.73,"","",-0.0
"","","","","","","","","","","","",-0.0
"","","","","","","","","","","","",-0.0
"","","","","","","","","","","","",-0.0
"","","","","","","","","",1.07,"","",0.0
"","","","",-0.62,"","","","","","","",-0.0
"","","","","","","","","","","","",0.0
"","","","","","","","","","","","",0.0
"","","","","","","","","","","","",-0.0
"","","","","","",-0.2,"","","","","",0.0
"","","","","","","","","","","","",0.0
"","","","","","","","","","","","",-0.0
"","","","",-0.89,"","","",1.26,"","","",-0.0
"","","","","","","","","","","","",-0.0
"","","","","","","","","","","","",0.0
"",0.18,"","","","","","","","","","",-0.0
"","","","","","",1.49,"","",0.76,"","",0.0
"",0.89,"","","","","","","","","","",-0.0
"","","","","","","","","","","","",0.0
"","","","","","","","","","","","",0.0
"","","","","","","","","","","","",0.0
0.77,"","","","","","","","","","",-0.24,-0.0
"","","","","","","","","","","","",0.0
"","","","","","","","","","","","",0.0
"",-0.48,"","",-0.13,"",-0.06,"","","","",1.85,0.0
"","","","","","","","","","","","",-0.0
"","","","","","","","",0.29,"","","",0.0
"","","","","","","","",-0.52,"","","",0.0
"","",-1.1,"","","","","","","","","",0.0
"","","",-0.61,-0.15,"","","","",-1.42,"","",-0.0
"","","","","","","","","","","","",0.0
"","","","","","","","","","","","",-0.0
"","","","",0.51,"","","","","","","",0.0
"","","","","","","","","","","","",-0.0
"","","","","","","","","","","","",0.0
"",-2.64,"","","","","","","","","","",-0.0
"","",0.64,"","","","","","","","","",0.0
"","","","","","","","","","","","",0.0
"","","","","","","","",-1.14,"","","",0.0
"","","","","","","",0.07,"","","","",0.0
"","","","","","","","","","","","",0.0
"","","","","","","","","","","","",0.0
"","","",0.67,"","","",0.43,-0.29,"","","",-0.0
0.32,"","","","","","","","","","","",-0.0
"","","","","","","","","","",-0.97,"",0.0
"","","","","","","","","","","","",-0.0
"",0.14,"","","","","","",-0.76,"","","",0.0
"","","","","","","","","","","","",-0.0
"","","","","","","","","","","","",-0.0
"","","","",2.17,"","","","","","","",0.0
"","","","","","","","","",0.14,"","",-0.0
"","","","","","","","","","","","",-0.0
"",-0.21,"","","","","","","","","","",-0.0
"","","","","","","","","",-0.15,0.96,"",0.0
"","","","","","","","","","","","",-0.0
"","","","","","",0.26,"","","","","",0.0
-1.69,"","","","","","","","","","","",-0.0
0.57,"","","","","","","","","","","",-0.0
"","","",-0.91,"","","","","","","","",-0.0
"","","","","","","","","","","","",-0.0
"","","","","","","","","","","","",-0.0
"","","","","","","","","","","","",-0.0
"","","","",-2.22,"","","","","","","",0.0
"","","","","","","","","","",-1.05,"",-0.0
"","","","","","","","","","","","",0.0
"","","","","","","","","","","","",0.0
"","","","","","","","","","","","",0.0
"","","","","","","","","","","","",0.0
"","","","","","","","","","",0.2,"",0.0
"","","","","","","","","","","","",-0.0
"","","","","","","","","","","","",-0.0
"","","","","","",-0.12,"","","","","",-0.0
"","",-1.77,"","","","","","","","","",-0.0
"","","","","","","","","","","","",-0.0
"","","","","","","",-0.58,"","","","",-0.0
"","","",-0.62,"","","","","","","","",0.0
0.52,"","","","","","","","","","","",0.0
"","","","","","","","","","","","",0.0
"","","","","","","","","","","","",0.0
"",-1.06,"","","","","","","","","","",-0.0
"","",-1.6,"","","","","","","","","",-0.0
"","",-1.89,"","","",0.88,"","","","","",0.0
"","","","","","","","","","","","",-0.0
"","","","","","",0.08,"","","","","",-0.0
"","","","","","","","","","","","",-0.0
"","","",1.46,"","","","","",0.86,"","",-0.0
"","","","","","","","","","","","",-0.0
"","","","","","","","","","","","",0.0
"","","","","","",0.72,"","","","","",-0.0
"","","","","","","","","","",-2.01,"",-0.0
"","","","","","","","","","","","",-0.0
"","","","","","","","","","","",0.43,0.0
"","","","","","","","","","","","",0.0
"",0.26,"",0.59,"","","","","","","","",-0.0
"","","","","","","","","","","","",0.0
"","","","","","","","","","","","",-0.0
"","","","","","","","","","","","",0.0
"","","","","","","","","",-0.06,"","",-0.0
"","","","","","","",-1.07,"","","","",0.0
"",0.82,"","","","","","","","","","",-0.0
"","","","","","","","","","","","",0.0
"","","","","","","","","","","","",0.0
"","","",0.3,"","","","",1.45,"","","",0.0
"","","","",1.2,"","","","","",-0.91,"",-0.0
"",0.12,"","","","","","","","","","",-0.0
"","","","","","","","","","","","",0.0
"","","",0.39,"","","","","","","","",-0.0
"","","","","","","","","","","","",0.0
"","","","","","","","","","","","",0.0
"","","","","","","","","","","","",0.0
"","","","","",1.17,"","","","","","",0.0
"","","","","","","","","","","","",-0.0
"","","","","","","","","","","","",0.0
"","","","","",-0.27,"","","","","","",-0.0
"","","","","","","","","","","","",0.0
"","","","","",0.86,"","","","","","",0.0
"","",0.08,"","","","","","","","","",0.0
"","","","","","","","","","","","",0.0
"","","","","",0.76,"","","","","","",0.0
"","","","","","","","","","","",-0.68,-0.0
"","","","","","","","","","","","",0.0
"",-0.08,"","","","","","","","","","",0.0
"","","","","","","","","","","","",0.0
"","","","","","","","","","","","",0.0
"","","","","","","","","","","","",-0.0
"","","","","","","","","","","","",0.0
"","","","","",0.01,"","","","","","",-0.0
"","","","","","","","","","","","",0.0
0.23,"","","","","","","","","","","",0.0
"","","","","","","","","","","","",0.0
"","","","","","","","","","","","",-0.0
"","","","","","","","","","","","",-0.0
"","","","","",0.18,"","","","",-0.71,"",0.0
"","","","","","","","","","","","",-0.0
"","","","","","","","","","","","",0.0
-2.13,1.24,"","","","","","","","","","",-0.0
"","","","","","","","",-1.06,"","","",-0.0
"","","","","","","","","","","","",0.0
"","","","","","","","","","","","",0.0
"","","","","","","","","","","","",-0.0
"","","","","","","","","","","",0.1,-0.0
"","","","","","","","","","","","",0.0
"","","","","","","","","","","","",-0.0
"",-0.08,"","","","","","","","","","",-0.0
"","",0.11,"","",1.35,"","","","","","",0.0
"","","","","","","",0.4,"","","","",0.0
"","","","","","","","","","","","",-0.0
"",1.33,"","","","","","","","","","",0.0
0.88,"","",-0.48,"","","","","","","","",0.0
"","",0.13,"","","","","","","","","",-0.0
"","","","","","","","","",0.13,"","",-0.0
"","",0.19,"","","","","","","","",0.11,0.0
-0.73,"","","","","","","","","","","",-0.0
"","",-1.08,"","","","","","","","","",0.0
-0.1,"","","","","","","","","","","",0.0
"","","","","","","","","","","","",0.0
"","","","","","","","","","","","",0.0
"","","","","","","","","","","","",-0.0
"","","","","","","","","","","","",0.0
"","","","","","","","","","","","",0.0
"","","","","","","",0.17,-1.8,"","","",0.0
"","","","","","","","","","","","",0.0
-0.24,"","","","","","","","","","","",-0.0
"","","",0.1,"","","","","","","",0.07,-0.0
"","","","","","","","","","","","",0.0
"","","","","","","","","","","","",-0.0
"","","","","","","","","","","","",-0.0
"","","","","","","","","","","","",0.0
"","","","","","","","","","","","",-0.0
"","","","","","","","",0.58,"","","",0.0
"","","","","","","","","","","",-0.11,-0.0
"",0.82,"","","",0.38,"","","","","","",0.0
"","","","","","","","","","","","",-0.0
"","","","","","","","","","",0.34,"",0.0
"","","","","","","","","","","","",-0.0
"","","","",0.11,"","","","","","","",0.0
"","","","","","","","","","","","",-0.0
"","","","","","","",1.47,"","","","",-0.0
"",1.57,"","","","","",-1.03,"","","","",-0.0
"","","","","","","","","","","","",0.0
"","","","","","","","","","",0.4,"",0.0
1.44,"","","","","","","","","","","",0.0
"","","","","","","","","",-0.82,"","",0.0
"","","","","","","","","","","","",-0.0
"","","","","","","","","","","","",-0.0
"","","","","","","","","","","","",0.0
"","","","","","","","","","","","",0.0
"","","","","","",-0.75,"","","","","",-0.0
"","","",-1.0,"","","","","","","","",0.0
"","","","","","","","","","","","",0.0
"","","","","","","","","","","","",-0.0
"","","","","","","","","",0.14,"","",0.0
"","","","",1.11,"","","","","","","",0.0
"","","","","","","","","","","","",0.0
"","","","","","","","","","","","",-0.0
"","","","","","","","","","","","",-0.0
"","","","","","",0.54,"","","","","",0.0
"","","","","","","","","","","","",0.0
"","","","","","","","","","","","",0.0
"","","","","","","","","",1.3,"","",0.0
"","","","","","","","","","","","",0.0
"","","","","","","","","","","",0.08,0.0
"","",-0.43,"","","","","","","","","",-0.0
"","","","","","","","","","","","",-0.0
"","","","","","","","","","","","",0.0
"","","","","","","","","","","",-0.34,-0.0
"","","","","","","","","","","","",0.0
"","","","","","","","",-0.4,"",-0.4,"",-0.0
"","","","","","","","","","","","",-0.0
"","","","","","","","","","","","",-0.0
"","","","","","","","","","","","",-0.0
"","","","","","","","","","","","",0.0
"","","","","","","","","","","","",0.0
"","","","","","","","","","","",-1.86,-0.0
"","","",-2.47,"","","","","","","","",-0.0
"","","","","","","","","","","","",0.0
"","","","","","",-0.17,"","","","","",0.0
"",-0.05,"","","","","","",-0.76,"","","",-0.0
"","","","","","","","","","","","",-0.0
"","","","","","","","","","","","",-0.0
"","","","","","","","","","","","",0.0
"","","","","","","","","","","","",0.0
"","","","","","","","",0.59,"","","",-0.0
"",-0.35,"","","","","","","",-0.71,0.36,"",0.0
"","","","","","","","","","","","",0.0
"","","","","","","",-1.74,"","","","",-0.0
"","","","","","","","","","","","",0.0
"","","","","","","","","","","","",0.0
"","","","","","","","","","","","",0.0
"","","","","",-0.71,"","","","","","",-0.0
"","","","","","","","","","","","",0.0
"","","","","","","","","","","","",0.0
"","","",-0.38,"","","","","","","","",0.0
"","","","","","","","","","","","",0.0
"","","","","","",-0.86,"","","",0.64,"",0.0
"","","","","","","","","","","","",-0.0
"","","","","","","","","","","","",-0.0
"","","","","","",-1.06,"","","",0.65,"",-0.0
"","","","","","","","","","","","",-0.0
"","","","","","","","","","","","",-0.0
"","","","","","","","","","","","",0.0
"","","","","","","","","","","","",0.0
"","",1.61,"","","","","","","","","",0.0
"","","","","","","","","","","","",-0.0
"","","","","","","","","","","","",-0.0
"","","","","","","","","","","","",0.0
"","","","","","","","","","",-0.23,"",-0.0
"","","","","","","","","","","","",0.0
"","","","","","","","","","","","",0.0
"","","","","","","",2.58,"","","","",-0.0
"","","","","","","","","","","","",-0.0
"","","","","","","","","","","","",-0.0
"","","","","","","","","","","","",0.0
"","","","","","","","","","","","",0.0
"","","","","","","","","","","","",0.0
"","","","","","",-0.62,"","","","","",-0.0
"","","","","","","","","","","","",0.0
"","","","","","","","","","",-0.29,"",-0.0
"","","",0.42,0.07,"","","","","","","",-0.0
"","","","","","","","","","","","",-0.0
"",-0.38,"","","","","","","","","","",-0.0
"","","","","","","","","","","","",-0.0
"","","","","","","","","","","","",-0.0
"","","","","","","","","",-1.17,"","",-0.0
"","","","","","","","","","","","",-0.0
"","","","","","","","","","","","",0.0
"","","","","","","","","","","","",-0.0
"","","","","",-0.1,"","","","",-1.22,-0.5,0.0
"","","","","","","","","","","","",0.0
"","","","","","","","","","","","",0.0
"","","","","","","",0.75,"","","","",-0.0
"","","","","","",1.74,"","",-0.48,"","",0.0
"","","","","","","","","","","","",-0.0
"","","","","","","","","","","","",0.0
"","","","","","","","",0.61,"","","",-0.0
"","","","","","","","","","","","",0.0
"","","","","","","","","","","","",-0.0
"","","","","","","","","","","","",-0.0
"","","","",0.21,"","","","","","","",-0.0
"","","","","","","","",1.78,"","","",0.0
"","","","","","","","","","","","",0.0
"","","","","","","","","","","","",-0.0
"","","","","","","","","","","","",-0.0
"","","","","","","","","","","","",-0.0
"","","","","","","","","","","","",-0.0
"","","","","","","","","","",1.1,"",-0.0
"","",1.0,"","","","","","","","","",0.0
"","","","","","","","","","","","",0.0
"","","","","",-0.12,"","","","","","",0.0
"","","","","","","","","","","","",0.0
"","","","","","","","",1.64,"",0.33,"",0.0
"",-1.59,"","","","","","","","","","",-0.0
"","","","","","","","","",-1.54,"","",-0.0
"","","","","","",1.09,"","","","","",-0.0
"","","","","","","","","","","","",0.0
"","","","","","","","","","",0.99,"",0.0
"","","","","","","",0.27,"","","","",0.0
"","","","","","","","","","","","",-0.0
"","",1.22,"","","","","","","","","",-0.0
"","","","","","","","","","","","",0.0
"","","","","","","","","","","","",-0.0
"","","","","","","","","","","","",-0.0
"","","","","","","","","","","","",0.0
"","",1.25,"","","","","","","","","",0.0
"",-0.81,"","","","","","","","","","",-0.0
"","","","","","","","","","","","",-0.0
"","","","","","","","","","","","",-0.0
"","","","","","","","","","","","",-0.0
"","",-0.31,"","","","","","","",-0.27,"",-0.0
"","","","","","","","","",-0.43,"","",-0.0
"","","","","","","","","","","","",0.0
"","","","","","","","","","","","",-0.0
0.96,"","","","","","","","","","","",0.0
"","","","","","","","","","","","",0.0
"","","","","","","","","","",-2.02,"",-0.0
"","","",-0.54,"","","","","","","","",-0.0
"","","","","",-0.46,"","","","","","",0.0
"","","","","","","","","","","","",-0.0
"","","","","","","","","","","","",-0.0
0.09,"","","","","","","","","","","",0.0
"","","","","","","","","","","",-0.35,-0.0
"","","","","","","","","",2.23,-0.25,"",0.0
"",1.52,"","","","","","","","","","",-0.0
"","","","","","","","","","","","",-0.0
"","","","",1.31,"","","","","","","",-0.0
"","","","","","","",1.19,"","","","",0.0
"","","","","",1.1,"","","","","","",0.0
"","","","","","","","","","","","",0.0
"","","","","","","","","","","","",0.0
"","","","","","","","","","","","",0.0
"","","","","","","","","","","",-1.02,0.0
"","","","","","","","","","","","",0.0
"","",0.11,"","","","","","","",-0.09,"",0.0
"","","","","","","","","","","","",-0.0
"","","","","","","","","","","","",0.0
"","","","","","",0.53,"","","","","",0.0
"","","",0.55,"","","","","","","","",-0.0
"","","","","","","","","","","","",0.0
"","","","","","","","","","","","",0.0
"",0.31,"","","","","","",-0.35,"","","",0.0
"","","","","","","","","","","","",0.0
"","","","","","","","","","","","",0.0
"","","","","","","","","","","","",0.0
"","","","","","","","","","",0.4,"",0.0
"","","","","","","","","","","","",-0.0
"","","","","","","","",0.59,0.58,"","",0.0
"","","","","","","","","","","","",-0.0
"","","","","","","","","","","","",-0.0
"","","","","","","","","","","",0.09,0.0
"","","","","","","","","","","","",-0.0
"","","","","","","","","","","","",0.0
"","","","","",1.44,"","","","","","",0.0
1.66,"","","","","","","","","",1.71,"",0.0
0.4,"","","",-0.59,"","","","","","","",0.0
"","","","","","","","","","","","",0.0
"","","","","","","","","","","","",0.0
"","",1.06,"",0.62,"","","","","","","",0.0
"","","","","","","","","","","",-0.99,-0.0
"","","","","","","","","","","","",-0.0
"","","","","","","","","","","","",-0.0
"","","","","","","","","",-0.07,"","",-0.0
"","","","","","","","","",1.0,"","",-0.0
"","","","","","","","","","","","",0.0
"",-0.57,"","","","","","","","","","",0.0
"","","","","","","","","","","","",0.0
"","","","","","","","","","","","",0.0
"","","","","","","","","","","","",-0.0
"","",-0.26,"","","","","","",-0.62,"","",-0.0
"","","","","","","","","","","","",-0.0
"","","","","","","","","",-0.59,"","",0.0
"",-0.89,"","","","","","",-1.16,"","","",-0.0
"","","","","","","","","","","",0.66,0.0
-0.06,"","",0.53,"","","","","","","","",-0.0
"","","","","","","","","","","","",-0.0
-1.53,"","","","","",0.6,"","","","","",-0.0
-0.76,0.16,"","","","","","","","","","",-0.0
"","","","","","","","","","","","",0.0
"","","","","",0.38,"","","","","","",-0.0
"","","","","",0.03,"","","","","","",0.0
"","","","","","","","","","","","",-0.0
"","","","","","","","","","","","",0.0
"","","","","","","","","","",-0.36,"",0.0
"","","","","","","","",-0.13,"","","",-0.0
"","",0.38,"","","","","","","","","",-0.0
"","","","","","","","",0.55,"","","",-0.0
"",0.11,"","","","","","","",-0.21,"","",-0.0
"","","","","","","","","","","","",0.0
"","","","","","","","","","","","",0.0
"","","","","","","","","","","","",0.0
"","","","","","","","","","","","",0.0
"","","","",-0.43,"","","","","","","",0.0
"","","","","","","","","","","","",0.0
"","","","",0.27,"","","","","","","",-0.0
